epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2109.99,0.83457,0.64686,0.94835,0.7932,0.71732,0.82302,0.66339,0.82964,0.68248,0.95375,0.000404375,0.000404375,0.000404375
43,2160.39,0.83015,0.64009,0.94751,0.79242,0.72491,0.8235,0.66372,0.83274,0.6873,0.95566,0.00038375,0.00038375,0.00038375
44,2210.34,0.82349,0.63603,0.94467,0.79896,0.72625,0.82491,0.66337,0.82665,0.67945,0.95601,0.000363125,0.000363125,0.000363125
45,2260.64,0.82247,0.62998,0.94308,0.79791,0.7258,0.82635,0.66721,0.82716,0.67859,0.95337,0.0003425,0.0003425,0.0003425
46,2311.16,0.82176,0.63168,0.94287,0.78752,0.73603,0.82456,0.66422,0.82192,0.67903,0.9518,0.000321875,0.000321875,0.000321875
47,2361.38,0.81581,0.6254,0.94028,0.76809,0.74729,0.82511,0.66592,0.82569,0.67658,0.9534,0.00030125,0.00030125,0.00030125
48,2411.72,0.81443,0.62332,0.94156,0.78121,0.73939,0.82552,0.66811,0.81807,0.67742,0.95094,0.000280625,0.000280625,0.000280625
49,2462.41,0.80927,0.61934,0.93966,0.7845,0.74123,0.82769,0.66939,0.8197,0.6742,0.95224,0.00026,0.00026,0.00026
50,2512.29,0.80583,0.60821,0.9366,0.78744,0.73315,0.82721,0.66918,0.82321,0.67527,0.95253,0.000239375,0.000239375,0.000239375
51,2561.51,0.78796,0.57396,0.93209,0.78872,0.73824,0.82644,0.66608,0.82514,0.6726,0.9542,0.00021875,0.00021875,0.00021875
52,2610.21,0.77521,0.56375,0.92528,0.78142,0.74023,0.82374,0.66606,0.8222,0.67178,0.95485,0.000198125,0.000198125,0.000198125
53,2658.61,0.76909,0.5553,0.92262,0.7797,0.73921,0.8233,0.66667,0.82198,0.67502,0.95407,0.0001775,0.0001775,0.0001775
54,2706.93,0.76316,0.54902,0.92061,0.77697,0.74479,0.82418,0.669,0.8195,0.67076,0.95316,0.000156875,0.000156875,0.000156875
55,2755.54,0.75791,0.5442,0.91858,0.78196,0.74099,0.8256,0.66814,0.8221,0.67107,0.95386,0.00013625,0.00013625,0.00013625
56,2804.32,0.75529,0.5411,0.91824,0.78127,0.73706,0.82293,0.66668,0.82116,0.66964,0.95397,0.000115625,0.000115625,0.000115625
57,2853.04,0.74937,0.53423,0.91591,0.77861,0.74316,0.82501,0.6701,0.82021,0.67167,0.95341,9.5e-05,9.5e-05,9.5e-05
58,2901.51,0.7459,0.53361,0.91448,0.79291,0.7279,0.82484,0.66974,0.81985,0.67072,0.95204,7.4375e-05,7.4375e-05,7.4375e-05
59,2949.98,0.74175,0.52771,0.91226,0.80134,0.7218,0.82544,0.6701,0.81892,0.67099,0.9522,5.375e-05,5.375e-05,5.375e-05
60,2998.69,0.7406,0.52474,0.91217,0.80578,0.71657,0.82383,0.66879,0.81984,0.67206,0.95328,3.3125e-05,3.3125e-05,3.3125e-05
